2026-04-25 15:14:08,991 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-25 15:15:00,001 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-25 15:15:01,090 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-25 15:15:01,567 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-25 15:15:01,567 | INFO | ETFPremiumTracker | Premium percent is 16.75%
2026-04-25 15:15:01,574 | INFO | ETFPremiumTracker | Saved to Database
2026-04-25 15:15:19,218 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-28 10:56:37,107 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-28 10:56:57,238 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-28 10:56:58,349 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-28 10:56:58,890 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-28 10:56:58,890 | INFO | ETFPremiumTracker | Premium percent is 20.07%
2026-04-28 10:57:00,001 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-28 10:57:00,275 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-28 10:57:00,760 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-28 10:57:00,760 | INFO | ETFPremiumTracker | Premium percent is 20.07%
2026-04-28 10:57:00,769 | INFO | ETFPremiumTracker | Saved to Database
2026-04-28 10:57:45,225 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-28 11:02:20,011 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-28 11:03:00,001 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-28 11:03:01,090 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-28 11:03:01,622 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-28 11:03:01,623 | INFO | ETFPremiumTracker | Premium percent is 20.07%
2026-04-28 11:03:01,628 | INFO | ETFPremiumTracker | Saved to Database
2026-04-28 11:03:07,586 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-28 11:03:10,274 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-28 11:03:47,047 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-28 11:03:49,700 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-28 11:04:00,000 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-28 11:04:01,201 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-28 11:04:01,665 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-28 11:04:01,666 | INFO | ETFPremiumTracker | Premium percent is 20.07%
2026-04-28 11:04:01,671 | INFO | ETFPremiumTracker | Saved to Database
2026-04-28 11:04:33,415 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-28 11:04:36,098 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-28 11:04:38,922 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-29 14:43:16,593 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-29 14:44:00,001 | INFO | ETFPremiumTracker | Fetching market price...
2026-04-29 14:44:00,786 | INFO | ETFPremiumTracker | Fetching INav price...
2026-04-29 14:44:01,371 | INFO | ETFPremiumTracker | Calculating Premium...
2026-04-29 14:44:01,371 | INFO | ETFPremiumTracker | Premium percent is 20.78%
2026-04-29 14:44:01,377 | INFO | ETFPremiumTracker | Saved to Database
2026-04-29 14:44:22,008 | INFO | ETFPremiumTracker | Scheduler stopped.
2026-04-29 14:44:24,242 | INFO | ETFPremiumTracker | Scheduler started...
2026-04-29 14:44:25,251 | INFO | ETFPremiumTracker | Scheduler stopped.
